구분,유저,챗봇
배란일/임신일,배란일은 어떻게 알 수 있나요,배란일은 다음 생리 예정일에서 보름전이지만 항상 일정하게 생리를 하는 것이 아니기 때문에 틀릴 수 있습니다. 비교적 정확한 생리라면 배란 주변기에서 앞으로 삼사일 해서 1주일이 임신 가능성이 높은 시기입니다. 
배란일/임신일,임신가능일을 알고싶어요,배란일은 다음 생리 예정일에서 보름전이지만 항상 일정하게 생리를 하는 것이 아니기 때문에 틀릴 수 있습니다. 비교적 정확한 생리라면 배란 주변기에서 앞으로 삼사일 해서 1주일이 임신 가능성이 높은 시기입니다. 
배란일/임신일,가임 가능일을 알고싶어요,배란일은 다음 생리 예정일에서 보름전이지만 항상 일정하게 생리를 하는 것이 아니기 때문에 틀릴 수 있습니다. 비교적 정확한 생리라면 배란 주변기에서 앞으로 삼사일 해서 1주일이 임신 가능성이 높은 시기입니다. 
배란일/임신일,언제 임신할 수 있을까요,배란일은 다음 생리 예정일에서 보름전이지만 항상 일정하게 생리를 하는 것이 아니기 때문에 틀릴 수 있습니다. 비교적 정확한 생리라면 배란 주변기에서 앞으로 삼사일 해서 1주일이 임신 가능성이 높은 시기입니다. 
임테기 흐림,임신테스트기의 줄이 흐리게 보여요,임신여부를 가장 확실하게 알 수 있는 방법은 병원에서 초음파 검사로 자군애 임신을 확인하는 방법입니다. 질식 초음파를 사용하면 수정후 2주가 지나면 확인 할 수 있습니다. 
임테기 흐림,임테기가 흐리게 나와요,임신여부를 가장 확실하게 알 수 있는 방법은 병원에서 초음파 검사로 자군애 임신을 확인하는 방법입니다. 질식 초음파를 사용하면 수정후 2주가 지나면 확인 할 수 있습니다. 
임테기 흐림,임테기 결과가 이상해요,임신여부를 가장 확실하게 알 수 있는 방법은 병원에서 초음파 검사로 자군애 임신을 확인하는 방법입니다. 질식 초음파를 사용하면 수정후 2주가 지나면 확인 할 수 있습니다. 
임테기 흐림,임테기가 틀릴 수 있나요,임신여부를 가장 확실하게 알 수 있는 방법은 병원에서 초음파 검사로 자군애 임신을 확인하는 방법입니다. 질식 초음파를 사용하면 수정후 2주가 지나면 확인 할 수 있습니다. 
임테기 흐림,임신 테스트기에서 두 줄이 나왔어요,임신여부를 가장 확실하게 알 수 있는 방법은 병원에서 초음파 검사로 자군애 임신을 확인하는 방법입니다. 질식 초음파를 사용하면 수정후 2주가 지나면 확인 할 수 있습니다. 
착상혈,착상혈은 꼭 있나요,착상혈은 있을 수도 있고 없을 수도 있습니다. 착상혈 유무로 임신을 판단할 수 없습니다. 
착상혈,착상혈이 안나와요,착상혈은 있을 수도 있고 없을 수도 있습니다. 착상혈 유무로 임신을 판단할 수 없습니다. 
착상혈,착상혈이 없어요,착상혈은 있을 수도 있고 없을 수도 있습니다. 착상혈 유무로 임신을 판단할 수 없습니다. 
비정상적 출혈,생리가 아닌 피가 묻어나와요,"평소 생리가 규칙적이었다면 임신과 관련된 출혈일 수 있습니다. 임신 확인 검사는 경우에 따라 늦게 나타날 수도 있으니, 5~7일뒤 다시 검사해보는 것을 권장합니다.  병원에서 검진하는 것을 추천합니다. "
고혈압,혈압약을 먹어도 괜찮나요,고혈압이 있어도 출산이 가능합니다. 다만 임신중에 금기되는 고혈압 약제가 있기때문에 병원진단을 받으시는 것을 추천드립니다. 
고혈압,고혈압이 있어도 출산이 가능한가요,고혈압이 있어도 출산이 가능합니다. 다만 임신중에 금기되는 고혈압 약제가 있기때문에 병원진단을 받으시는 것을 추천드립니다. 
임테기 시기,임신테스트기는 언제 하는것이 적합한가요,임신 확인은 배란후 3주정도 지나야 정확하게 확인 가능합니다. 그러므로 생리 예정일에서 1주 정도 지나도 생리가 없다면 검사를 추천드립니다. 
임테기 언제,임테기는 언제 해야 하나요,임신 확인은 배란후 3주정도 지나야 정확하게 확인 가능합니다. 그러므로 생리 예정일에서 1주 정도 지나도 생리가 없다면 검사를 추천드립니다. 
임신주수,임신주수는 어떻게 계산하나요,임신주수는 마지막 월경 시작일 부터 계산합나다. 임신 개월수로 2개월에 해당합니다. 
임신주수,임신주수를 알려주세요,임신주수는 마지막 월경 시작일 부터 계산합나다. 임신 개월수로 2개월에 해당합니다. 
산전검사,산전검사는 무엇인가요,"한번도 산부인과 검진을 받은 적이 없다면 꼭 받아야 할 검사가 있습니다. 난소에 혹이 있는지, 배란은 잘 되는지, 염증은 없는지 검사합니다. "
산전검사,산전검사를 해야하나요,"한번도 산부인과 검진을 받은 적이 없다면 꼭 받아야 할 검사가 있습니다. 난소에 혹이 있는지, 배란은 잘 되는지, 염증은 없는지 검사합니다. "
임신 불가,아이가 생기지 않아요,병원에서 검사를 받으시는 것을 추천합니다. 검사는 비교적 간단하고 수월 합니다. 꼭 받아보시는 것을 추천드립니다. 
임신 불가,임신이 안되요,병원에서 검사를 받으시는 것을 추천합니다. 검사는 비교적 간단하고 수월 합니다. 꼭 받아보시는 것을 추천드립니다. 
둘째,둘째가 생기지 않아요,첫아이는 출산하셨으므로 2차성 불임이 의심됩니다. 병원에서 진단을 추천드립니다. 
둘째,첫아이는 출산했는데 둘째가 생기지 않아요,첫아이는 출산하셨으므로 2차성 불임이 의심됩니다. 병원에서 진단을 추천드립니다. 
인공임신중절,인공 임신 중절을 하면 불임이 되나요,"인공 임신 중절 수슬은 염증반응을 일으키고, 염증반응이 자궁강 및 자궁목 유착과 나팔관 폐쇄를 야기하여 불임에 빠질 수 있습니다. "
입덧,입덧이 너무 힘이듭니다. ,"불행하게 입덧을 치료할 뾰족한 방법은 없습니다. 음식을 소량씩 먹는것이 도움이 될 수 있습니다. 입덧이 너무 심하다면 입원을 하거나 구토제, 수액과 같은 치료를 해야하는 경우도 있습니다. 입덧으로 체중이 감소하는 분들도 있습니다. 태야의 성장에는 큰 영향이 없으니 걱정하지 않으셔도 됩니다. "
입덧,입덧이 심해요,"불행하게 입덧을 치료할 뾰족한 방법은 없습니다. 음식을 소량씩 먹는것이 도움이 될 수 있습니다. 입덧이 너무 심하다면 입원을 하거나 구토제, 수액과 같은 치료를 해야하는 경우도 있습니다. 입덧으로 체중이 감소하는 분들도 있습니다. 태야의 성장에는 큰 영향이 없으니 걱정하지 않으셔도 됩니다. "
입덧,입덧 치료는 가능한가요?,"불행하게 입덧을 치료할 뾰족한 방법은 없습니다. 음식을 소량씩 먹는것이 도움이 될 수 있습니다. 입덧이 너무 심하다면 입원을 하거나 구토제, 수액과 같은 치료를 해야하는 경우도 있습니다. 입덧으로 체중이 감소하는 분들도 있습니다. 태야의 성장에는 큰 영향이 없으니 걱정하지 않으셔도 됩니다. "
매운음식,매운 음식이 먹고 싶어요,입덧 때문에 위장관장애가 많을 시기입니다. 가급적 자극적인 음식은 피하는 것이 좋습니다. 
매운음식,매운음식을 먹어도 되나요,입덧 때문에 위장관장애가 많을 시기입니다. 가급적 자극적인 음식은 피하는 것이 좋습니다. 
계류유산,아기집은 커지는데 아기가 없습니다. ,계류유산으로 생각됩니다. 는어도 임신 6주 이후에는 태낭에 배야가 보입니다. 계류유산으로 진단이 된다면 자궁소파술을 통해서 유산물을 제거하여야 합니다. 
계류유산,배아가 보이지 않아요,계류유산으로 생각됩니다. 는어도 임신 6주 이후에는 태낭에 배야가 보입니다. 계류유산으로 진단이 된다면 자궁소파술을 통해서 유산물을 제거하여야 합니다. 
전치태반,전치태반이 무엇인가요,"태아가 커지면서 자궁도 늘어나고 커지게 되는데, 이러한 과정에서 태반이 어느정도 이동하는 것으로 알려져있습니다. 임신 중기에 자궁 경부를 완전이 덮고 있는 태반이라도 만삭때는 40%정도만 전치태반이 유지되는 것으로 알려져있습니다. "
임질균,임질균에 감염되었어요,"임신중의 임질균 감염은 반드시 치료하여햐 합니다. 그렇지 않을 경우 패혈성 자연유산, 조산, 신생아 감염등 여러 합병증을 불러올 수 있스ㅂ니다. 병원 진료를 추천드립니다. "
임질균,임신중 임질균 감염,"임신중의 임질균 감염은 반드시 치료하여햐 합니다. 그렇지 않을 경우 패혈성 자연유산, 조산, 신생아 감염등 여러 합병증을 불러올 수 있스ㅂ니다. 병원 진료를 추천드립니다. "
